Year,CSIRO Adjusted Sea Level,Lower Error Bound,Upper Error Bound
15/03/1920,1.905511809,1.393700786,2.417322832
15/03/1921,1.988188974,1.472440943,2.503937005
15/03/1922,1.952755904,1.433070865,2.472440942
15/03/1923,1.999999998,1.488188975,2.511811021
15/03/1924,1.712598423,1.196850392,2.228346454
15/03/1925,1.791338581,1.255905511,2.326771651
15/03/1926,2.047244092,1.507874014,2.586614171
15/03/1927,2.003937006,1.496062991,2.511811021
15/03/1928,1.850393699,1.366141731,2.334645667
15/03/1929,1.905511809,1.429133857,2.381889761
15/03/1930,2.062992124,1.590551179,2.535433068
15/03/1931,2.047244092,1.566929132,2.527559053
15/03/1932,2.271653541,1.803149604,2.740157478
15/03/1933,2.440944879,1.976377951,2.905511808
15/03/1934,2.228346454,1.759842518,2.696850391
15/03/1935,2.448818895,1.980314959,2.917322832
15/03/1936,2.295275588,1.83070866,2.759842517
15/03/1937,2.519685037,2.055118108,2.984251965
15/03/1938,2.622047241,2.157480313,3.08661417
15/03/1939,2.826771651,2.346456691,3.307086611
15/03/1940,2.618110234,2.18110236,3.055118107
15/03/1941,3.098425194,2.673228344,3.523622044
15/03/1942,3.098425194,2.673228344,3.523622044
15/03/1943,3.098425194,2.673228344,3.523622044
15/03/1944,2.84645669,2.425196848,3.267716532
15/03/1945,2.95669291,2.535433068,3.377952752
15/03/1946,3.251968501,2.834645666,3.669291335
15/03/1947,3.374015745,2.996062989,3.7519685
15/03/1948,3.562992122,3.19685039,3.929133854
15/03/1949,3.51181102,3.181102359,3.842519681
15/03/1950,3.598425193,3.287401571,3.909448815
15/03/1951,3.972440941,3.665354327,4.279527555
15/03/1952,3.870078736,3.56692913,4.173228342
15/03/1953,4.043307082,3.748031492,4.338582673
15/03/1954,3.929133854,3.64173228,4.216535429
15/03/1955,3.964566925,3.685039366,4.244094484
15/03/1956,3.763779524,3.488188973,4.039370075
15/03/1957,4.291338578,4.019685035,4.562992121
15/03/1958,4.346456688,4.086614169,4.606299208
15/03/1959,4.358267712,4.102362201,4.614173224
15/03/1960,4.503937003,4.244094484,4.763779523
15/03/1961,4.748031491,4.488188972,5.007874011
15/03/1962,4.543307082,4.283464563,4.803149601
15/03/1963,4.480314956,4.220472437,4.740157475
15/03/1964,4.169291334,3.905511807,4.433070862
15/03/1965,4.610236216,4.346456688,4.874015743
15/03/1966,4.397637791,4.137795271,4.65748031
15/03/1967,4.452755901,4.196850389,4.708661413
15/03/1968,4.484251964,4.220472437,4.748031491
15/03/1969,4.751968499,4.476377948,5.02755905
15/03/1970,4.67716535,4.401574799,4.9527559
15/03/1971,4.881889759,4.610236216,5.153543302
15/03/1972,5.240157475,4.968503932,5.511811018
15/03/1973,5.003937003,4.736220468,5.271653538
15/03/1974,5.472440939,5.204724404,5.740157474
15/03/1975,5.409448813,5.145669286,5.673228341
15/03/1976,5.370078735,5.1023622,5.63779527
15/03/1977,5.303149601,5.043307081,5.56299212
15/03/1978,5.555118105,5.291338577,5.818897632
15/03/1979,5.362204719,5.098425192,5.625984246
15/03/1980,5.598425191,5.34251968,5.854330703
15/03/1981,6.086614167,5.830708655,6.342519679
15/03/1982,5.858267711,5.610236215,6.106299206
15/03/1983,6.188976372,5.93307086,6.444881883
15/03/1984,6.153543301,5.905511805,6.401574797
15/03/1985,5.74803149,5.499999994,5.996062986
15/03/1986,5.771653537,5.523622042,6.019685033
15/03/1987,5.795275585,5.551181097,6.039370073
15/03/1988,5.980314955,5.732283459,6.22834645
15/03/1989,6.157480309,5.905511805,6.409448812
15/03/1990,6.232283458,5.972440939,6.492125978
15/03/1991,6.334645663,6.074803143,6.594488182
15/03/1992,6.35826771,6.094488183,6.622047237
15/03/1993,6.291338576,6.027559049,6.555118104
15/03/1994,6.499999993,6.236220466,6.763779521
15/03/1995,6.618110229,6.354330702,6.881889757
15/03/1996,6.787401568,6.523622041,7.051181095
15/03/1997,7.066929127,6.803149599,7.330708654
15/03/1998,6.665354324,6.393700781,6.937007867
15/03/1999,7.011811016,6.736220466,7.287401567
15/03/2000,7.062992119,6.791338576,7.334645662
15/03/2001,7.287401567,7.019685032,7.555118103
15/03/2002,7.381889756,7.110236213,7.653543299
15/03/2003,7.759842512,7.484251961,8.035433063
15/03/2004,7.740157472,7.464566922,8.015748023
15/03/2005,7.74409448,7.472440937,8.015748023
15/03/2006,7.917322827,7.645669284,8.18897637
15/03/2007,7.996062984,7.712598417,8.279527551
15/03/2008,8.350393692,8.078740149,8.622047235
15/03/2009,8.586614164,8.311023614,8.862204715
15/03/2010,8.901574794,8.618110227,9.185039361
15/03/2011,8.96456692,8.661417314,9.267716526
15/03/2012,9.326771644,8.992125975,9.661417313
15/03/2013,8.980314951,8.622047235,9.338582668
